Timestamp,Symbol,Action,Open/Close/Add,Cost basis,Quantity,PnL
2022-05-19 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2428,0.0,440.62500000001455
2022-06-08 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2537,15,
2022-06-08 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2537,0.0,9.375
2022-06-17 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2286,15,
2022-06-17 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2286,0.0,-421.87499999998545
2022-06-20 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2281,15,
2022-06-20 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2281,0.0,-121.875
2022-07-18 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1995,6,
2022-07-18 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1995,0.0,-97.5
2022-07-19 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2027,15,
2022-07-19 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2027,0.0,-121.87500000001455
2022-07-25 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2086,12,
2022-07-25 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2086,0.0,-195.0
2022-08-01 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.226,15,
2022-08-01 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.226,0.0,46.87499999998545
2022-08-10 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2229,5,
2022-08-10 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2229,0.0,-12.5
2022-08-26 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1857,15,
2022-08-26 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1857,0.0,-1171.875
2022-09-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1694,8,
2022-09-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1694,0.0,-55.000000000007276
2022-09-29 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.0882,15,
2022-09-29 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.0882,0.0,2278.125
2022-10-03 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.123,15,
2022-10-03 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.123,0.0,956.25
2022-10-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1231,13,
2022-10-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1231,0.0,934.375
2022-10-17 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1353,15,
2022-10-17 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1353,0.0,243.75000000001455
2022-10-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1341,15,
2022-10-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1341,0.0,-440.62500000001455
2022-10-25 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.138,15,
2022-10-25 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.138,0.0,1031.25
2022-11-01 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1566,15,
2022-11-01 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1566,0.0,-609.375
2022-11-07 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1467,9,
2022-11-07 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1467,0.0,320.6250000000073
2022-11-11 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1794,11,
2022-11-11 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1794,0.0,433.125
2022-11-14 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1821,15,
2022-11-14 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1821,0.0,-515.625
2022-11-15 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.192,6,
2022-11-15 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.192,0.0,-179.99999999998545
2022-11-16 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1924,15,
2022-11-16 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1924,0.0,46.875
2022-11-22 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1892,15,
2022-11-22 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1892,0.0,46.87500000001455
2022-11-23 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.1949,8,
2022-11-23 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.1949,0.0,624.9999999999927
2022-11-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2124,13,
2022-11-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2124,0.0,16.25
2022-12-01 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.219,10,
2022-12-01 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.219,0.0,362.49999999998545
2022-12-02 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2297,14,
2022-12-02 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2297,0.0,-78.75000000001455
2022-12-07 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2199,15,
2022-12-07 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2199,0.0,168.75000000001455
2022-12-09 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2284,15,
2022-12-09 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2284,0.0,-224.99999999998545
2022-12-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2284,15,
2022-12-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2284,0.0,-103.1249999999709
2022-12-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2304,15,
2022-12-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2304,0.0,543.75
2022-12-28 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2112,15,
2022-12-28 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2112,0.0,-684.3750000000146
2023-01-04 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2069,15,
2023-01-04 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2069,0.0,93.75
2023-01-17 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2273,15,
2023-01-17 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2273,0.0,206.24999999998545
2023-01-18 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2385,6,
2023-01-18 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2385,0.0,-123.74999999998545
2023-02-09 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2169,5,
2023-02-09 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2169,0.0,-140.62500000000728
2023-02-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2113,15,
2023-02-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2113,0.0,290.62499999998545
2023-02-14 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2217,5,
2023-02-14 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2217,0.0,-106.25
2023-02-21 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2114,8,
2023-02-21 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2114,0.0,-19.999999999992724
2023-02-28 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2105,10,
2023-02-28 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2105,0.0,-468.74999999998545
2023-03-10 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2025,8,
2023-03-10 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2025,0.0,140.00000000000728
2023-03-14 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2221,14,
2023-03-14 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2221,0.0,-341.25
2023-03-20 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2257,14,
2023-03-20 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2257,0.0,428.75
2023-03-22 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2292,15,
2023-03-22 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2292,0.0,28.124999999985448
2023-03-30 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2399,9,
